,Height,Volume,External_Wall_Area,Number_of_Floors,Ground_Floor_Area,Window_Area,u_Value_Wall,u_Value_Ground_Floor,u_Value_Roof,u_Value_Internal_Floor,u_Value_Internal_Wall,u_Value_Windows,g_Value_Windows,Permeability,Building_Equipment_Heat_Gain,Building_Occupancy,WWR_North,WWR_East,WWR_West,WWR_South,WWR,Heating_Load
12,3.6796875,7647.198424,891.619444,3,692.74,270.5729066,0.21171875,0.19765625,0.21953125,0.4984375,0.4671875,0.78203125,0.36796875,8.9765625,11.28125,18.5625,0.359375,0.140625,0.140625,0.290625,0.2328125,8985.064834
13,3.1796875,6641.096357,1001.32353,5,417.72,499.4892931,0.16171875,0.24765625,0.16953125,0.5984375,0.5671875,0.93203125,0.51796875,7.4765625,13.28125,22.5625,0.159375,0.340625,0.340625,0.490625,0.3328125,4404.278909
14,3.984375,8574.77559,1092.299242,5,430.42,661.2246608,0.1671875,0.1828125,0.2015625,0.440625,0.553125,0.8171875,0.3703125,7.734375,12.4375,19.125,0.45625,0.43125,0.35625,0.23125,0.36875,8284.509006
15,3.484375,7369.763194,1177.026627,3,705.03,409.3389879,0.2171875,0.2328125,0.1515625,0.540625,0.453125,0.9671875,0.5203125,6.234375,10.4375,23.125,0.25625,0.23125,0.15625,0.43125,0.26875,6855.356969
16,3.640625,13786.13293,1440.230874,5,757.35,563.5686072,0.2265625,0.1796875,0.1671875,0.559375,0.521875,0.7515625,0.3046875,8.578125,12.5625,18.375,0.14375,0.29375,0.41875,0.26875,0.28125,10437.3518
17,3.21875,11490.29375,1247.072482,5,713.96,473.0274463,0.203125,0.171875,0.228125,0.41875,0.54375,0.971875,0.553125,8.71875,13.375,22.25,0.3375,0.2125,0.1125,0.4375,0.275,6672.187982
18,3,1499.88,362.232,2,249.98,40.248,0.15,0.15,0.15,0.4,0.4,0.7,0.3,6,10,16,0.1,0.1,0.1,0.1,0.1,2307.908708
19,3.8359375,10897.89844,1073.632893,4,710.25,595.7671206,0.23359375,0.20078125,0.17265625,0.5296875,0.4359375,0.82890625,0.33984375,7.0078125,13.15625,22.8125,0.496875,0.128125,0.428125,0.453125,0.3765625,6752.703053
20,3.3359375,4348.793757,640.768709,3,434.54,244.3218777,0.18359375,0.15078125,0.22265625,0.4296875,0.5359375,0.97890625,0.48984375,8.5078125,11.15625,18.8125,0.296875,0.328125,0.228125,0.253125,0.2765625,5513.708167
21,3.421875,3358.602895,556.3723613,3,327.17,231.4115037,0.2484375,0.1765625,0.1703125,0.503125,0.490625,0.8359375,0.5390625,7.921875,12.6875,22.625,0.28125,0.45625,0.18125,0.20625,0.28125,3651.781943
22,3.609375,2611.815938,392.0097529,2,361.81,190.5434341,0.1796875,0.1953125,0.2390625,0.565625,0.428125,0.9296875,0.5578125,6.609375,11.9375,20.125,0.30625,0.18125,0.40625,0.38125,0.31875,3200.508055
23,3.390625,6306.667319,840.5724803,3,620.01,425.8267314,0.2015625,0.1546875,0.2421875,0.509375,0.571875,0.8265625,0.3796875,6.328125,11.5625,20.375,0.24375,0.39375,0.31875,0.36875,0.33125,6370.694538
24,3.71875,4900.159688,782.9455558,3,439.23,296.9793627,0.153125,0.221875,0.178125,0.51875,0.44375,0.821875,0.403125,7.21875,11.375,18.25,0.1375,0.4125,0.3125,0.2375,0.275,5527.921005
25,3.625,2309.3425,466.6245537,2,318.53,82.34550948,0.1625,0.1875,0.2125,0.525,0.525,0.9625,0.4875,7.125,10.5,17,0.15,0.15,0.15,0.15,0.15,3466.327431
26,3.6328125,9931.199805,1488.147479,5,546.75,473.5711315,0.15078125,0.16171875,0.23984375,0.4203125,0.5515625,0.87109375,0.32578125,8.9296875,10.46875,19.1875,0.378125,0.146875,0.221875,0.446875,0.2984375,9863.872163
27,3.1328125,2551.206538,442.0733497,3,271.45,214.8777582,0.20078125,0.21171875,0.18984375,0.5203125,0.4515625,0.72109375,0.47578125,7.4296875,12.46875,23.1875,0.178125,0.346875,0.421875,0.246875,0.2984375,2760.048559
28,3.171875,4693.36,561.8660393,2,739.84,300.8840886,0.1734375,0.2015625,0.1953125,0.453125,0.540625,0.9109375,0.3140625,8.671875,13.6875,20.625,0.38125,0.35625,0.48125,0.10625,0.33125,6939.431147
29,3.921875,9447.169375,1215.065314,4,602.21,709.7906287,0.1984375,0.2265625,0.2203125,0.403125,0.590625,0.9859375,0.3890625,6.421875,10.6875,18.625,0.48125,0.25625,0.38125,0.40625,0.38125,10239.50183
30,3.015625,8305.51375,909.9949768,4,688.54,356.0849909,0.2390625,0.1671875,0.2046875,0.484375,0.446875,0.9390625,0.4921875,8.203125,12.0625,19.375,0.19375,0.24375,0.46875,0.21875,0.28125,7168.487929
31,3.09375,4712.833125,652.0448525,3,507.78,313.9475178,0.165625,0.234375,0.240625,0.44375,0.51875,0.859375,0.590625,6.09375,11.875,19.25,0.1875,0.4625,0.3625,0.2875,0.325,3497.842828
32,3.8125,11971.25,1815.283422,5,628,573.2473956,0.15625,0.23125,0.24375,0.4875,0.4875,0.94375,0.35625,7.3125,11.75,23.5,0.225,0.275,0.225,0.225,0.2375,10231.74369
33,3.7734375,6259.94497,908.2477285,5,331.79,549.8088482,0.20234375,0.15703125,0.15390625,0.5171875,0.4234375,0.99765625,0.39609375,8.6953125,11.90625,23.3125,0.471875,0.353125,0.403125,0.278125,0.3765625,7345.094837
34,3.2734375,5957.294655,808.1943074,3,606.63,308.9641549,0.15234375,0.20703125,0.20390625,0.4171875,0.5234375,0.84765625,0.54609375,7.1953125,13.90625,19.3125,0.271875,0.153125,0.203125,0.478125,0.2765625,4819.071617
35,3.328125,10526.72625,1022.033876,4,790.74,506.2410509,0.1953125,0.1984375,0.2484375,0.521875,0.559375,0.8828125,0.3234375,6.890625,11.8125,16.875,0.46875,0.36875,0.19375,0.34375,0.34375,9138.677165
36,3.90625,3697.34375,559.3123503,2,473.26,225.6874528,0.209375,0.240625,0.171875,0.48125,0.55625,0.765625,0.571875,7.78125,12.625,17.75,0.4125,0.1875,0.2375,0.3125,0.2875,4795.008494
37,3.5,7351.4,1037.231976,4,525.1,444.5279898,0.2,0.2,0.2,0.5,0.5,0.85,0.45,7.5,12,20,0.3,0.3,0.3,0.3,0.3,6817.77681
38,3.5546875,6912.5875,1007.969732,4,486.16,440.0675605,0.17421875,0.21015625,0.20703125,0.4734375,0.4921875,0.74453125,0.33046875,6.3515625,13.78125,23.5625,0.109375,0.390625,0.390625,0.440625,0.3328125,4726.884679
39,3.0546875,6971.375364,932.5553001,3,760.73,305.6924024,0.22421875,0.16015625,0.15703125,0.5734375,0.5921875,0.89453125,0.48046875,7.8515625,11.78125,19.5625,0.309375,0.190625,0.190625,0.240625,0.2328125,6510.078561
40,3.546875,7137.834302,764.7679209,3,670.81,337.6002567,0.1609375,0.2390625,0.2328125,0.578125,0.415625,0.7984375,0.5015625,7.546875,13.1875,21.625,0.33125,0.30625,0.43125,0.15625,0.30625,6250.878501
41,3.046875,4825.396875,829.5254479,4,395.93,199.343297,0.2109375,0.1890625,0.1828125,0.478125,0.515625,0.9484375,0.3515625,6.046875,11.1875,17.625,0.13125,0.10625,0.23125,0.35625,0.20625,4134.848463
42,3.140625,4544.643818,591.3736513,3,482.35,364.3817516,0.1765625,0.2296875,0.2171875,0.459375,0.421875,0.9015625,0.4546875,7.078125,10.5625,22.375,0.34375,0.49375,0.21875,0.46875,0.38125,5217.86401
43,3.34375,4317.650625,529.7704377,2,645.63,255.0746864,0.240625,0.159375,0.215625,0.59375,0.46875,0.784375,0.365625,6.84375,10.875,17.25,0.4875,0.3625,0.2625,0.1875,0.325,5700.663249
44,3.375,7696.51875,1081.957423,5,456.09,582.5924155,0.1875,0.1625,0.1875,0.575,0.575,0.8875,0.5625,7.875,13.5,23,0.25,0.45,0.25,0.45,0.35,5444.497295
45,3.2421875,10673.93133,1276.516319,5,658.44,387.3745886,0.18046875,0.19140625,0.15078125,0.5609375,0.5796875,0.80078125,0.53671875,8.4140625,11.53125,23.0625,0.184375,0.165625,0.315625,0.265625,0.2328125,6163.885136
46,3.859375,8958.801912,1263.879012,3,773.77,464.5025096,0.2046875,0.2203125,0.2140625,0.415625,0.578125,0.7046875,0.3328125,7.359375,10.9375,22.125,0.20625,0.28125,0.10625,0.48125,0.26875,9730.216765
47,3.359375,6708.403125,875.385984,4,499.23,511.3640659,0.1546875,0.1703125,0.1640625,0.515625,0.478125,0.8546875,0.4828125,8.859375,12.9375,18.125,0.40625,0.48125,0.30625,0.28125,0.36875,6651.701353
48,3.515625,4361.873162,555.4699228,3,413.57,354.5149218,0.1890625,0.2171875,0.1546875,0.584375,0.546875,0.7890625,0.3421875,6.703125,10.0625,23.375,0.39375,0.44375,0.26875,0.41875,0.38125,4434.745522
49,3.84375,5695.8225,842.2464478,4,370.46,413.2762068,0.190625,0.209375,0.165625,0.49375,0.56875,0.934375,0.515625,8.34375,12.875,21.25,0.2875,0.1625,0.4625,0.3875,0.325,5512.52657
50,3.4375,7685.8375,1107.356325,4,558.97,394.1437865,0.16875,0.21875,0.18125,0.5625,0.5625,0.75625,0.46875,6.1875,11.25,22.5,0.275,0.225,0.275,0.275,0.2625,5989.236993
51,3.7421875,4300.78287,593.3405284,3,383.09,338.9129889,0.23046875,0.24140625,0.20078125,0.4609375,0.4796875,0.95078125,0.38671875,6.9140625,13.53125,19.0625,0.384375,0.365625,0.115625,0.465625,0.3328125,4750.648083
52,3.8984375,6294.883654,812.2977713,3,538.24,273.0269931,0.16484375,0.24453125,0.16640625,0.5421875,0.4484375,0.88515625,0.43359375,6.0703125,13.40625,18.3125,0.221875,0.103125,0.253125,0.428125,0.2515625,4593.46967
53,3.3984375,4463.168625,747.2783288,5,262.66,421.1047286,0.21484375,0.19453125,0.21640625,0.4421875,0.5484375,0.73515625,0.58359375,7.5703125,11.40625,22.3125,0.421875,0.303125,0.453125,0.228125,0.3515625,4441.271534
54,3.078125,5828.119982,807.3918292,5,378.68,463.2575926,0.2203125,0.2234375,0.2234375,0.471875,0.409375,0.8078125,0.5484375,6.140625,10.8125,18.875,0.16875,0.46875,0.49375,0.44375,0.39375,4090.954912
55,3.15625,5301.2375,884.5704984,5,335.92,342.5793024,0.234375,0.215625,0.246875,0.43125,0.50625,0.840625,0.496875,7.03125,11.625,23.75,0.3125,0.4875,0.1375,0.2125,0.2875,4328.143142
56,3.6875,5143.1775,644.5307961,2,697.38,226.4567662,0.19375,0.24375,0.20625,0.5125,0.5125,0.83125,0.54375,8.4375,12.25,16.5,0.175,0.325,0.175,0.375,0.2625,6485.092914
57,3.5859375,4262.819063,828.3534017,4,297.19,220.748513,0.15859375,0.17578125,0.19765625,0.4796875,0.5859375,0.90390625,0.56484375,6.2578125,12.15625,20.8125,0.196875,0.228125,0.128125,0.353125,0.2265625,3356.898486
58,3.0859375,3531.241142,476.7758368,2,572.15,205.0935181,0.20859375,0.22578125,0.24765625,0.5796875,0.4859375,0.75390625,0.41484375,7.7578125,10.15625,16.8125,0.396875,0.428125,0.328125,0.153125,0.3265625,6158.177664
59,3.671875,6829.834375,1124.585139,4,465.01,338.2898526,0.2234375,0.1515625,0.2453125,0.553125,0.440625,0.7609375,0.4640625,7.171875,11.6875,16.625,0.18125,0.15625,0.28125,0.30625,0.23125,7221.281715
60,3.65625,6696.531563,1036.300004,3,610.51,418.1561785,0.184375,0.165625,0.196875,0.53125,0.40625,0.990625,0.346875,8.53125,13.625,19.75,0.1125,0.2875,0.3375,0.4125,0.2875,8397.06492
61,3.125,7417.625,791.7000756,4,593.41,426.3000407,0.2125,0.2375,0.1625,0.425,0.425,0.8125,0.3375,8.625,12.5,21,0.35,0.35,0.35,0.35,0.35,6741.009464
62,3.9609375,5983.588976,950.7750542,3,503.55,382.4765569,0.19609375,0.18828125,0.16015625,0.5046875,0.4109375,0.71640625,0.30234375,8.1328125,11.65625,19.8125,0.246875,0.378125,0.278125,0.203125,0.2765625,7189.191993
63,3.796875,2945.044801,574.7066425,3,258.55,202.3614902,0.2359375,0.1640625,0.2078125,0.428125,0.565625,0.8734375,0.4265625,8.296875,12.1875,23.625,0.23125,0.40625,0.13125,0.25625,0.25625,4344.745115
64,3.296875,8800.515951,1132.493248,5,533.87,626.7195843,0.1859375,0.2140625,0.1578125,0.528125,0.465625,0.7234375,0.5765625,6.796875,10.1875,19.625,0.43125,0.20625,0.33125,0.45625,0.35625,5317.762996
65,3.578125,7015.668737,887.2609668,3,653.57,380.2547042,0.1703125,0.1734375,0.1734375,0.571875,0.509375,0.9578125,0.3984375,7.640625,12.8125,22.875,0.36875,0.26875,0.29375,0.24375,0.29375,6198.749108
66,3.40625,10199.26625,1062.422981,4,748.57,428.6969924,0.159375,0.190625,0.221875,0.58125,0.45625,0.915625,0.421875,6.28125,10.625,21.75,0.2125,0.3875,0.4375,0.1125,0.2875,6218.714028
67,3.25,6458.4,785.5574669,3,662.4,336.6675221,0.225,0.225,0.175,0.55,0.55,0.925,0.525,6.75,11,18,0.4,0.2,0.4,0.2,0.3,6405.974463
68,3.9921875,6349.498351,555.862493,2,795.24,344.7754703,0.15546875,0.16640625,0.22578125,0.5109375,0.5296875,0.72578125,0.46171875,6.1640625,12.53125,17.0625,0.284375,0.465625,0.415625,0.365625,0.3828125,5632.471703
69,3.4921875,7274.226563,1156.526068,4,520.75,437.3083396,0.20546875,0.21640625,0.17578125,0.4109375,0.4296875,0.87578125,0.31171875,7.6640625,10.53125,21.0625,0.484375,0.265625,0.215625,0.165625,0.2828125,8103.227515
70,3.5234375,10494.20625,1198.139434,4,744.6,371.9040443,0.17734375,0.23203125,0.17890625,0.4671875,0.5734375,0.77265625,0.47109375,7.9453125,10.90625,21.3125,0.171875,0.453125,0.103125,0.178125,0.2265625,7480.988849
71,3.0234375,4258.510545,633.3021249,3,469.5,274.454561,0.22734375,0.18203125,0.22890625,0.5671875,0.4734375,0.92265625,0.32109375,6.4453125,12.90625,17.3125,0.371875,0.253125,0.303125,0.378125,0.3265625,4557.42897
72,3.234375,1894.179375,316.0227764,2,292.82,153.6085901,0.1921875,0.1578125,0.1765625,0.490625,0.503125,0.7421875,0.4453125,6.984375,11.4375,21.125,0.35625,0.13125,0.45625,0.33125,0.31875,2411.378057
73,3.03125,4927.903125,672.2100621,3,541.9,305.5500579,0.196875,0.178125,0.234375,0.40625,0.53125,0.728125,0.459375,8.15625,13.125,18.75,0.1625,0.2375,0.3875,0.4625,0.3125,4926.907425
74,3.75,5812.95,876.9599832,4,387.53,375.839981,0.175,0.175,0.225,0.45,0.45,0.775,0.375,8.25,13,22,0.2,0.4,0.2,0.4,0.3,5270.193508
75,3.8828125,6351.970625,928.6427236,4,408.98,403.9387609,0.22578125,0.23671875,0.21484375,0.5703125,0.4015625,0.79609375,0.55078125,8.1796875,11.46875,17.1875,0.278125,0.246875,0.321875,0.346875,0.2984375,6281.583711
76,3.3828125,4630.728609,666.4093463,2,684.45,283.4837086,0.17578125,0.18671875,0.16484375,0.4703125,0.5015625,0.94609375,0.40078125,6.6796875,13.46875,21.1875,0.478125,0.446875,0.121875,0.146875,0.2984375,5948.18176
77,3.6484375,2920.284345,470.9087501,2,400.21,203.3230117,0.23984375,0.16953125,0.19140625,0.4921875,0.5984375,0.81015625,0.50859375,6.8203125,12.40625,16.3125,0.321875,0.203125,0.353125,0.328125,0.3015625,3686.976659
78,3.1484375,8500.2775,1331.236687,4,674.96,304.6916579,0.18984375,0.21953125,0.24140625,0.5921875,0.4984375,0.96015625,0.35859375,8.3203125,10.40625,20.3125,0.121875,0.403125,0.153125,0.128125,0.2015625,9563.12932
79,3.890625,5357.701875,972.4071239,4,344.27,252.672689,0.1515625,0.2046875,0.1921875,0.409375,0.471875,0.9765625,0.5296875,7.828125,13.5625,16.375,0.44375,0.19375,0.11875,0.16875,0.23125,5204.286057
80,3.28125,3981.009375,549.4140629,3,404.42,290.4545878,0.221875,0.203125,0.209375,0.55625,0.48125,0.953125,0.384375,8.90625,12.125,16.75,0.4625,0.1375,0.2875,0.3625,0.3125,5365.267338
81,3.5625,6993.1875,1111.770693,4,490.75,346.2892181,0.23125,0.15625,0.21875,0.5375,0.5375,0.71875,0.58125,6.5625,10.75,21.5,0.325,0.175,0.325,0.125,0.2375,5174.305565
82,3.4609375,13476.02734,1367.312637,5,778.75,792.3124063,0.24609375,0.23828125,0.21015625,0.4046875,0.5109375,0.86640625,0.45234375,6.6328125,13.65625,23.8125,0.446875,0.178125,0.478125,0.403125,0.3765625,7606.044761
83,3.734375,8484.649375,1284.62505,4,568.01,359.6950139,0.2421875,0.2078125,0.2265625,0.590625,0.403125,0.8921875,0.5953125,8.484375,13.4375,17.125,0.15625,0.33125,0.25625,0.13125,0.21875,8219.710528
84,3.78125,10281.6725,1247.729242,4,679.78,515.8456673,0.171875,0.153125,0.159375,0.45625,0.58125,0.803125,0.534375,7.40625,10.125,20.75,0.2625,0.3375,0.4875,0.1625,0.3125,8627.492013
85,3.1875,5380.245,892.1684572,4,421.98,317.5514986,0.24375,0.19375,0.15625,0.4125,0.4125,0.98125,0.39375,6.9375,10.25,20.5,0.375,0.125,0.375,0.175,0.2625,6131.142633
86,3.9296875,3299.757894,616.2591842,3,279.9,220.5283816,0.18671875,0.22265625,0.24453125,0.5484375,0.5171875,0.85703125,0.59296875,8.2265625,10.28125,16.5625,0.259375,0.240625,0.440625,0.190625,0.2828125,4707.205623
87,3.4296875,7614.866563,983.7817748,4,555.07,632.2868771,0.23671875,0.17265625,0.19453125,0.4484375,0.4171875,0.70703125,0.44296875,6.7265625,12.28125,20.5625,0.459375,0.440625,0.240625,0.390625,0.3828125,6063.315074
88,3.7109375,4755.272735,678.9517292,2,640.71,329.2364644,0.22109375,0.21328125,0.18515625,0.4546875,0.5609375,0.94140625,0.52734375,8.8828125,10.65625,17.8125,0.346875,0.478125,0.378125,0.103125,0.3265625,7885.926549
89,3.2109375,4702.35375,805.8859794,4,366.12,236.7697404,0.17109375,0.16328125,0.23515625,0.5546875,0.4609375,0.79140625,0.37734375,7.3828125,12.65625,21.8125,0.146875,0.278125,0.178125,0.303125,0.2265625,4445.063589
90,3.703125,5739.8422,901.9073838,5,310,481.2094286,0.2078125,0.2359375,0.1609375,0.596875,0.534375,0.9203125,0.4359375,7.265625,10.3125,19.875,0.11875,0.41875,0.44375,0.49375,0.36875,5289.696704
91,3.875,8496.015,1096.26065,3,730.84,590.2941959,0.2375,0.2125,0.2375,0.475,0.475,0.7375,0.4125,6.375,11.5,19,0.45,0.25,0.45,0.25,0.35,8257.425617
92,3.53125,4718.985938,841.9382691,5,267.27,382.6991832,0.246875,0.228125,0.184375,0.50625,0.43125,0.878125,0.309375,6.65625,11.125,22.75,0.3625,0.4375,0.1875,0.2625,0.3125,5679.6236
93,3.3125,3510.421875,442.4324303,3,353.25,349.9838602,0.20625,0.18125,0.19375,0.5875,0.5875,0.79375,0.50625,8.8125,13.75,19.5,0.425,0.475,0.425,0.425,0.4375,4205.392573
94,3.6171875,10664.9171,1606.967469,5,589.68,421.551624,0.19296875,0.15390625,0.21328125,0.4859375,0.4546875,0.91328125,0.42421875,8.0390625,11.03125,22.0625,0.134375,0.115625,0.365625,0.215625,0.2078125,9970.271829
95,3.1171875,2941.06562,471.2729589,3,314.5,232.3383233,0.24296875,0.20390625,0.16328125,0.5859375,0.5546875,0.76328125,0.57421875,6.5390625,13.03125,18.0625,0.334375,0.315625,0.165625,0.415625,0.3078125,2487.546478
96,3.453125,3093.930938,527.4649459,2,447.99,147.6901667,0.2328125,0.2109375,0.2359375,0.546875,0.584375,0.9953125,0.3609375,8.015625,13.3125,21.875,0.21875,0.11875,0.34375,0.19375,0.21875,5096.060551
97,3.828125,5930.533832,911.5839782,3,516.4,293.8163217,0.2453125,0.2484375,0.1984375,0.421875,0.459375,0.7328125,0.4734375,8.390625,13.8125,20.875,0.26875,0.16875,0.39375,0.14375,0.24375,6588.520128
98,3.265625,3600.80875,730.34723,4,275.66,189.775211,0.1640625,0.2421875,0.2296875,0.534375,0.596875,0.7140625,0.4171875,8.953125,13.0625,17.375,0.49375,0.14375,0.16875,0.11875,0.23125,4562.338707
99,3.96875,4579.62,552.9103426,2,576.96,209.7246127,0.228125,0.196875,0.153125,0.46875,0.59375,0.896875,0.478125,6.46875,10.375,16.25,0.4375,0.3125,0.2125,0.1375,0.275,5788.08811
100,3.91015625,8987.725877,1256.856852,4,574.64,474.872718,0.154296875,0.172265625,0.159765625,0.55859375,0.42421875,0.837109375,0.376171875,6.62109375,10.796875,20.46875,0.1546875,0.2359375,0.4828125,0.2234375,0.27421875,7359.451371
101,3.41015625,2043.637688,310.9651673,2,299.64,189.9183221,0.204296875,0.222265625,0.209765625,0.45859375,0.52421875,0.987109375,0.526171875,8.12109375,12.796875,16.46875,0.3546875,0.4359375,0.2828125,0.4234375,0.37421875,3354.598341
102,3.11328125,2560.797331,288.793691,2,411.27,246.9395339,0.187109375,0.164453125,0.176953125,0.59296875,0.48984375,0.710546875,0.587109375,6.29296875,11.609375,21.59375,0.4734375,0.4421875,0.4640625,0.4796875,0.46484375,2543.859754
103,3.73828125,3589.272159,423.8298436,2,480.07,332.7980536,0.199609375,0.176953125,0.239453125,0.46796875,0.56484375,0.973046875,0.399609375,7.41796875,11.109375,20.59375,0.4234375,0.4921875,0.4140625,0.4296875,0.43984375,5429.070376
104,3.08203125,6183.230227,872.7291054,3,668.74,322.7902159,0.165234375,0.192578125,0.211328125,0.59921875,0.57109375,0.719921875,0.446484375,7.88671875,12.734375,23.34375,0.4109375,0.3046875,0.2265625,0.1421875,0.27109375,5790.481302
105,3.2265625,3191.713152,527.1843932,2,494.6,135.6800638,0.21640625,0.17734375,0.20546875,0.5265625,0.5703125,0.88046875,0.42890625,7.3359375,13.59375,20.4375,0.115625,0.284375,0.259375,0.159375,0.2046875,4145.452864
106,3.8203125,2338.258939,381.0114932,2,306.03,186.0753728,0.16953125,0.21796875,0.22109375,0.5578125,0.4140625,0.88984375,0.45703125,8.7421875,11.21875,21.6875,0.403125,0.221875,0.196875,0.371875,0.2984375,3738.206517
107,3.69921875,5942.353024,665.2721723,3,535.46,361.9273264,0.225390625,0.187109375,0.246484375,0.50703125,0.42890625,0.792578125,0.542578125,8.70703125,10.828125,23.03125,0.2140625,0.4015625,0.4796875,0.3140625,0.35234375,6186.046218
108,3.19921875,4172.260155,823.7517158,5,260.83,272.3004852,0.175390625,0.237109375,0.196484375,0.40703125,0.52890625,0.942578125,0.392578125,7.20703125,12.828125,19.03125,0.4140625,0.2015625,0.2796875,0.1140625,0.25234375,4036.140929
109,3.17578125,3912.815022,636.4945103,4,308.02,309.3796846,0.218359375,0.183203125,0.183203125,0.58046875,0.47734375,0.991796875,0.493359375,6.85546875,11.859375,17.09375,0.2484375,0.4171875,0.2390625,0.4046875,0.32734375,3890.031658
110,3.95703125,2573.098328,430.1044457,2,325.13,175.3211629,0.227734375,0.230078125,0.198828125,0.52421875,0.54609375,0.757421875,0.333984375,7.51171875,13.234375,20.34375,0.1609375,0.4546875,0.3765625,0.2921875,0.32109375,3770.207836
111,3.7265625,11480.94281,982.715903,4,770.21,706.1621462,0.16640625,0.22734375,0.15546875,0.4265625,0.4703125,0.73046875,0.57890625,8.8359375,11.59375,16.4375,0.315625,0.484375,0.459375,0.359375,0.4046875,9254.927954
112,3.4453125,2582.811095,413.8842682,2,374.83,152.1113123,0.15703125,0.23046875,0.15859375,0.4828125,0.5390625,0.77734375,0.34453125,7.6171875,11.71875,20.6875,0.453125,0.271875,0.146875,0.321875,0.2984375,3705.091868
113,3.78515625,4182.106046,573.9991749,3,368.29,350.5632447,0.216796875,0.234765625,0.172265625,0.58359375,0.44921875,0.724609375,0.413671875,8.49609375,12.296875,17.46875,0.3046875,0.4859375,0.2328125,0.4734375,0.37421875,4819.841765
114,3.28515625,8449.155848,1106.899475,4,642.98,383.2470653,0.166796875,0.184765625,0.222265625,0.48359375,0.54921875,0.874609375,0.563671875,6.99609375,10.296875,21.46875,0.1046875,0.2859375,0.4328125,0.2734375,0.27421875,6427.819724
115,3.30078125,5090.198854,853.0723688,3,514.04,183.9006911,0.230859375,0.195703125,0.170703125,0.40546875,0.50234375,0.804296875,0.380859375,8.73046875,12.359375,22.09375,0.1984375,0.1671875,0.1890625,0.1546875,0.17734375,6453.649162
116,3.92578125,5250.220399,1002.268489,3,445.79,146.2576175,0.243359375,0.158203125,0.208203125,0.53046875,0.42734375,0.916796875,0.568359375,7.60546875,12.859375,23.09375,0.1484375,0.1171875,0.1390625,0.1046875,0.12734375,5570.795014
